recipe_code,source_recipe_code,recipe_name,recipe_display_name,source,status,category,meal_type,preference
ANN-000820,BFP546,BAJRA INFANT FOOD,Pearl millet infant food (Bajra shishu aahaar),bfp_manual,active,infant_food,"[""breakfast"", ""snack""]",vegetarian
ANN-000604,BFP204,NUTRINUGGET KORMA,Soya chunks korma (Nutrinugget korma),bfp_manual,active,main_course,"[""lunch"", ""dinner""]",vegetarian
ANN-000693,BFP350,CHOCOCHIP ICE CREAM,Chocochip ice cream,bfp_manual,active,dessert,"[""anytime""]",non_vegetarian
ANN-000588,BFP172,ARHAR WITH SPINACH,Arhar with spinach (Arhar dal aur palak),bfp_manual,active,staple,"[""breakfast"", ""lunch"", ""dinner""]",vegetarian
ANN-000482,ASC506,Ginger Candy,Ginger candy (Adrak ki candy),asc_manual,active,beverage,"[""breakfast"", ""snack""]",vegetarian
ANN-000176,ASC181,Carrot and cabbage with coconut,Carrot and cabbage with coconut (Nariyal ke saath pattagobhi aur gajar),asc_manual,active,snack,"[""snack""]",vegetarian
ANN-000879,OSR015,Putharekulu,Putharekulu,open_source_recipes,active,dessert,"[""anytime""]",vegetarian
ANN-000752,BFP445,AMLA CHUTNEY,Gooseberry chutney (Amla chutney),bfp_manual,active,sauce_condiment,"[""lunch"", ""dinner""]",vegetarian
ANN-000913,OSR050,Lotus stem pickle,Lotus stem pickle (Kamal kakdi ka achar),open_source_recipes,active,sauce_condiment,"[""lunch"", ""dinner""]",vegetarian
ANN-000527,BFP066,CONSOMME AU JULIENNE,Consomme au julienne,bfp_manual,active,beverage,"[""breakfast"", ""snack""]",non_vegetarian
ANN-000899,OSR035,Raspberry Shortbread Cookies,Raspberry shortbread cookies,open_source_recipes,active,bakery,"[""breakfast"", ""snack""]",vegetarian
ANN-000515,BFP046,MOONG DAL STUFFED CHEELA,Moong dal stuffed cheela/chilla (Moong dal ka cheela/chilla),bfp_manual,active,breakfast,"[""breakfast""]",vegetarian
ANN-000656,BFP288,STUFFED BAKED POTATOES,Stuffed baked potatoes ,bfp_manual,active,main_course,"[""lunch"", ""dinner""]",eggetarian
ANN-000814,BFP536,CHOUX SWANS,Choux swans,bfp_manual,active,dessert,"[""anytime""]",eggetarian
ANN-000582,BFP166,DAL MOONG,Dal moong,bfp_manual,active,staple,"[""breakfast"", ""lunch"", ""dinner""]",vegetarian
ANN-000775,BFP476,CHOCOLATE SPONGE,Chocolate sponge cake,bfp_manual,active,bakery,"[""breakfast"", ""snack""]",eggetarian
ANN-000398,ASC416,Hot Spinach Souffle,Hot spinach souffle,asc_manual,active,dessert,"[""anytime""]",eggetarian
ANN-000282,ASC291,Moong Dal Kheer,Moong dal kheer,asc_manual,active,dessert,"[""anytime""]",vegetarian
ANN-000597,BFP194,MUTTON KORMA,Mutton korma,bfp_manual,active,main_course,"[""lunch"", ""dinner""]",non_vegetarian
ANN-000070,ASC072,White sauce (Medium),White sauce (medium),asc_manual,active,sauce_condiment,"[""lunch"", ""dinner""]",vegetarian
ANN-000199,ASC205,Ghiya Kofta Curry,Ghiya/Lauki Kofta Curry,asc_manual,active,main_course,"[""lunch"", ""dinner""]",vegetarian
ANN-000345,ASC356,Methi Pakoras,Methi pakora/pakoda (Methi ke pakode),asc_manual,active,starter,"[""snack""]",vegetarian
ANN-000164,ASC168,Kadhi,Besan kadhi with pakodies,asc_manual,active,main_course,"[""lunch"", ""dinner""]",vegetarian
ANN-000401,ASC419,Marble Cake,Marble cake,asc_manual,active,bakery,"[""breakfast"", ""snack""]",eggetarian
ANN-000388,ASC406,Choux Pastry,Choux pastry,asc_manual,active,bakery,"[""breakfast"", ""snack""]",eggetarian
ANN-000353,ASC364,Mathri,Mathri,asc_manual,active,starter,"[""snack""]",vegetarian
ANN-000173,ASC178,Dry Aloo,Dry potato (Sookhe aloo),asc_manual,active,main_course,"[""lunch"", ""dinner""]",vegetarian
ANN-000108,ASC110,Dal stuffed poories,Dal stuffed poori,asc_manual,active,breakfast,"[""breakfast""]",vegetarian
ANN-000392,ASC410,Flaky Pastry,Flaky pastry,asc_manual,active,bakery,"[""breakfast"", ""snack""]",vegetarian
ANN-000643,BFP272,BEANS FOOGATH,Beans foogath,bfp_manual,active,main_course,"[""lunch"", ""dinner""]",vegetarian
ANN-000559,BFP136,PEAS PULAO,Peas pulao (Matar pulao),bfp_manual,active,staple,"[""breakfast"", ""lunch"", ""dinner""]",vegetarian
ANN-000145,ASC148,Onion tomato Uttapam,Onion tomato uttapam,asc_manual,active,main_course,"[""lunch"", ""dinner""]",vegetarian
ANN-000010,ASC010,Zeera Pani,Cumin infused water (Jeere/Zeere ka pani),asc_manual,active,beverage,"[""breakfast"", ""snack""]",vegetarian
ANN-000818,BFP544,PANEER PATTIES,Paneer patties,bfp_manual,active,starter,"[""snack""]",vegetarian
ANN-000416,ASC434,Glace Icing,Glace icing,asc_manual,active,snack,"[""snack""]",vegetarian
ANN-000676,BFP316,CARROT RAITA,Carrot raita (Gajar ka raita),bfp_manual,active,side_dish,"[""lunch"", ""dinner""]",vegetarian
ANN-000338,ASC349,Mal Pura,Mal pua,asc_manual,active,dessert,"[""anytime""]",vegetarian
ANN-000224,ASC230,Keema Kofta Curry,Keema kofta curry,asc_manual,active,main_course,"[""lunch"", ""dinner""]",non_vegetarian
ANN-000808,BFP527,FRUIT PUREE TARTS,Fruit puree tart,bfp_manual,active,sauce_condiment,"[""lunch"", ""dinner""]",non_vegetarian
ANN-000028,ASC029,Peanut and Tomato sandwich ,Peanut and tomato sandwich (Moongfali aur tamatar ka sandwich),asc_manual,active,starter,"[""snack""]",vegetarian
ANN-000287,ASC296,Egg Halwa,Egg halwa (Ande ka halwa),asc_manual,active,dessert,"[""anytime""]",eggetarian
ANN-000728,BFP401,SEMOLINA BURFI,Semolina burfi (Suji/Rava burfi),bfp_manual,active,dessert,"[""anytime""]",vegetarian
ANN-000435,ASC454,Melting Moments,Melting moments,asc_manual,active,dessert,"[""anytime""]",eggetarian
ANN-000753,BFP446,WALNUT CHUTNEY,Walnut chutney (Akhrot ki chutney),bfp_manual,active,sauce_condiment,"[""lunch"", ""dinner""]",vegetarian
ANN-000616,BFP221,CHICKEN SWEET AND SOUR,Chicken sweet and sour,bfp_manual,active,dessert,"[""anytime""]",non_vegetarian
ANN-000150,ASC153,Channa dal with ghia,Split bengal gram with bottle gourd (Channa dal with ghiya/lauki),asc_manual,active,staple,"[""breakfast"", ""lunch"", ""dinner""]",vegetarian
ANN-000481,ASC505,Amla Murabba,Gooseberry marmalade (Amla murabba),asc_manual,active,sauce_condiment,"[""lunch"", ""dinner""]",vegetarian
ANN-000649,BFP278,VEGETABLES STIR FRY,Vegetables stir fry ,bfp_manual,active,side_dish,"[""lunch"", ""dinner""]",vegetarian
ANN-000968,OSR106,Khura (buckwheat pancake),Buckwheat pancake (Khura),open_source_recipes,active,bakery,"[""breakfast"", ""snack""]",vegetarian
ANN-000691,BFP347,VANILLA ICE CREAM WITH EGG,Vanilla ice cream with egg,bfp_manual,active,dessert,"[""anytime""]",non_vegetarian
ANN-000817,BFP542,SAVOURY CHEESE HORNS,Savoury cheese horns,bfp_manual,active,bakery,"[""breakfast"", ""snack""]",vegetarian
ANN-000723,BFP391,RAJBOGHS,Rajbogh,bfp_manual,active,dessert,"[""anytime""]",vegetarian
ANN-000890,OSR026,Besan halwa,Gram flour halwa (Besan halwa),open_source_recipes,active,dessert,"[""anytime""]",vegetarian
ANN-000831,BFP558,DAL WHEAT PORRIDGE,Lentils and wheat porridge (Dal wheat porridge/daliya ),bfp_manual,active,breakfast,"[""breakfast""]",vegetarian
ANN-000500,BFP019,FLAVOURED MILKSHAKE,Flavoured milkshake,bfp_manual,active,beverage,"[""breakfast"", ""snack""]",vegetarian
ANN-000335,ASC346,Milk Cake,Milk cake,asc_manual,active,bakery,"[""breakfast"", ""snack""]",vegetarian
ANN-000358,ASC369,Fish Cutlet,Fish cutlet (Machli ka cutlet),asc_manual,active,starter,"[""snack""]",eggetarian
ANN-000484,ASC509,Mixed Vegetable Pickle (1),Mixed vegetable pickle (Sabziyoon ka achaar),asc_manual,active,sauce_condiment,"[""lunch"", ""dinner""]",vegetarian
ANN-000892,OSR028,Watercress sandwich,Watercress sandwich,open_source_recipes,active,starter,"[""snack""]",vegetarian
ANN-000907,OSR043,Olive biscuits,Olive biscuit,open_source_recipes,active,bakery,"[""breakfast"", ""snack""]",vegetarian
ANN-000225,ASC231,Gushtaba (Kashmiri Mutton Koftas),Kashmiri mutton koftas (Gushtaba),asc_manual,active,main_course,"[""lunch"", ""dinner""]",non_vegetarian
ANN-000634,BFP258,MOOLI BHUJIA,Mooli bhujia,bfp_manual,active,snack,"[""snack""]",vegetarian
ANN-000965,OSR103,Pesarattu (Moong bean dosa),Moong bean dosa (Pesarattu),open_source_recipes,active,breakfast,"[""breakfast""]",vegetarian
ANN-001005,OSR146,Gujarati handvo ,Gujarati handvo ,open_source_recipes,active,review,"[""review""]",vegetarian
ANN-000015,ASC016,Banana Milkshake ,Banana milkshake (Kele milkshake),asc_manual,active,beverage,"[""breakfast"", ""snack""]",non_vegetarian
ANN-000322,ASC333,Hot Chocolate Souffle,Hot chocolate souffle,asc_manual,active,dessert,"[""anytime""]",eggetarian
ANN-000872,OSR008,Nannari sharbat,Nannari sharbat,open_source_recipes,active,beverage,"[""breakfast"", ""snack""]",vegetarian
ANN-000971,OSR110,Banana Appam,Banana appam,open_source_recipes,active,breakfast,"[""breakfast""]",non_vegetarian
ANN-000455,ASC474,Dhokla,Dhokla,asc_manual,active,snack,"[""snack""]",vegetarian
ANN-000586,BFP170,SOUR LENTILS,Sour lentils (Khatti dal),bfp_manual,active,staple,"[""breakfast"", ""lunch"", ""dinner""]",vegetarian
ANN-000446,ASC465,Wheat Flour and Dal Burfi,Wheat flour and moong dal burfi (Atta aur moong dal ki burfi),asc_manual,active,dessert,"[""anytime""]",vegetarian
ANN-000177,ASC182,Raw turnip with coconut,Raw turnip with coconut ,asc_manual,active,main_course,"[""lunch"", ""dinner""]",vegetarian
ANN-000646,BFP275,Zimikand/Yam (DRY),Yam fried (Zimikand/Suran fried),bfp_manual,active,main_course,"[""lunch"", ""dinner""]",vegetarian
ANN-000114,ASC116,Mushroom Pulao,Mushroom pulao,asc_manual,active,staple,"[""breakfast"", ""lunch"", ""dinner""]",vegetarian
ANN-000137,ASC139,Pasta hot pot,Pasta hot pot,asc_manual,active,staple,"[""breakfast"", ""lunch"", ""dinner""]",non_vegetarian
ANN-000844,BFP574,ATTA DAL BURFI,Atta dal burfi ,bfp_manual,active,dessert,"[""anytime""]",vegetarian
ANN-000210,ASC216,Methi Chaman,Methi chaman,asc_manual,active,main_course,"[""lunch"", ""dinner""]",non_vegetarian
ANN-000246,ASC254,Russian Salad,Russian salad,asc_manual,active,salad,"[""lunch"", ""dinner""]",eggetarian
ANN-000062,ASC064,Keema Pancake layer,Keema pancake,asc_manual,active,bakery,"[""breakfast"", ""snack""]",non_vegetarian
ANN-000153,ASC156,Whole Moong,Whole moong (Moong ki dal),asc_manual,active,staple,"[""breakfast"", ""lunch"", ""dinner""]",vegetarian
ANN-000910,OSR047,Pear preserves,Pear preserves (Naashpati ka murabba),open_source_recipes,active,sauce_condiment,"[""lunch"", ""dinner""]",vegetarian
ANN-000038,ASC039,Mushroom and cheese toast sandwich ,Mushroom and cheese sandwich (toasted),asc_manual,active,starter,"[""snack""]",vegetarian
ANN-000701,BFP359,VANILLA ICE CREAM WITH APPLES IN HOT CHERRY SAUCE,Vanilla ice cream with apples in hot cherry sauce,bfp_manual,active,sauce_condiment,"[""lunch"", ""dinner""]",non_vegetarian
ANN-000189,ASC195,Paneer Curry,Paneer curry,asc_manual,active,main_course,"[""lunch"", ""dinner""]",vegetarian
ANN-000503,BFP027,MINTADE,Mintade,bfp_manual,active,beverage,"[""breakfast"", ""snack""]",vegetarian
ANN-000054,ASC056,Boiled Egg,Boiled egg (Ubla anda),asc_manual,active,breakfast,"[""breakfast""]",eggetarian
ANN-000904,OSR040,Hazelnut cookies,Hazelnut cookies,open_source_recipes,active,bakery,"[""breakfast"", ""snack""]",vegetarian
ANN-000740,BFP425,SAGO CUTLET/VADAS,Sago cutlet/vadas (Sabudana cutlet/vadas),bfp_manual,active,starter,"[""snack""]",vegetarian
ANN-000003,ASC003,Espreso coffee,Espreso coffee,asc_manual,active,beverage,"[""breakfast"", ""snack""]",vegetarian
ANN-000781,BFP484,ORANGE GATEAU,Orange gateau,bfp_manual,active,beverage,"[""breakfast"", ""snack""]",eggetarian
ANN-000260,ASC268,Thousand Island Dressing,Thousand island dressing,asc_manual,active,main_course,"[""lunch"", ""dinner""]",vegetarian
ANN-000117,ASC119,Peanut Pulao,Peanut pulao ,asc_manual,active,staple,"[""breakfast"", ""lunch"", ""dinner""]",vegetarian
ANN-000810,BFP531,LEMON CHIFFON PIE,Lemon chiffon pie,bfp_manual,active,bakery,"[""breakfast"", ""snack""]",non_vegetarian
ANN-000569,BFP151,MASALA DOSA PANEER FILLINGS,Masala dosa paneer fillings,bfp_manual,active,breakfast,"[""breakfast""]",vegetarian
ANN-000640,BFP266,MATAR BAINGAN BHARTA,Peas brinjal bhartha (Matar baingan bhartha),bfp_manual,active,side_dish,"[""lunch"", ""dinner""]",vegetarian
ANN-000501,BFP024,JAL JEERA,Jal jeera,bfp_manual,active,beverage,"[""breakfast"", ""snack""]",vegetarian
ANN-000107,ASC109,Methi poories,Methi poori,asc_manual,active,breakfast,"[""breakfast""]",vegetarian
ANN-000789,BFP499,BUTTER ICING,Butter icing,bfp_manual,active,snack,"[""snack""]",vegetarian
ANN-000660,BFP292,FRICASSEE OF MUSHROOM,Fricassee of Mushroom,bfp_manual,active,main_course,"[""lunch"", ""dinner""]",vegetarian
ANN-000992,OSR132,Pumpkin soup,Pumpkin soup,open_source_recipes,active,soup,"[""lunch"", ""dinner""]",vegetarian
ANN-000919,OSR056,Small onion pickle,Small onion pickle ,open_source_recipes,active,sauce_condiment,"[""lunch"", ""dinner""]",vegetarian
ANN-000245,ASC253,"Paneer, Apple and Pineapple Salad","Paneer, apple and pineapple salad",asc_manual,active,salad,"[""lunch"", ""dinner""]",vegetarian
ANN-000285,ASC294,Shahi Suji Halwa,Shahi suji halwa,asc_manual,active,dessert,"[""anytime""]",vegetarian
ANN-000403,ASC421,Orange Cake,Orange cake,asc_manual,active,bakery,"[""breakfast"", ""snack""]",eggetarian
ANN-000229,ASC236,Mutton Chops,Mutton chops,asc_manual,active,main_course,"[""lunch"", ""dinner""]",non_vegetarian
ANN-000633,BFP257,PALAK ALOO,Spinach and potato (Palak aloo),bfp_manual,active,main_course,"[""lunch"", ""dinner""]",vegetarian
ANN-000958,OSR096,Tamarind chutney,Tamarind chutney (Chintapandu pachadi/Puli chutney),open_source_recipes,active,sauce_condiment,"[""lunch"", ""dinner""]",vegetarian
ANN-000436,ASC455,Ginger Biscuit,Ginger biscuit (Adarak ke biscuit),asc_manual,active,bakery,"[""breakfast"", ""snack""]",eggetarian
ANN-000783,BFP489,LEMON CAKE,Lemon cake,bfp_manual,active,bakery,"[""breakfast"", ""snack""]",eggetarian
ANN-000112,ASC114,Plain Pulao,Plain pulao,asc_manual,active,staple,"[""breakfast"", ""lunch"", ""dinner""]",vegetarian
ANN-000758,BFP452,CURD VEGETABLE DIP,Curd vegetable dip,bfp_manual,active,sauce_condiment,"[""lunch"", ""dinner""]",vegetarian
ANN-000278,ASC287,Paneer Kheer,Paneer kheer,asc_manual,active,dessert,"[""anytime""]",vegetarian
ANN-000251,ASC259,Sprouted Moong salad,Sprouted moong salad ,asc_manual,active,salad,"[""lunch"", ""dinner""]",vegetarian
ANN-000848,BFP578,SPROUTS UPMA,Sprouts upma ,bfp_manual,active,breakfast,"[""breakfast""]",vegetarian
ANN-000252,ASC260,Tossed Salad,Tossed salad,asc_manual,active,salad,"[""lunch"", ""dinner""]",vegetarian
ANN-000671,BFP307,TOMATO ASPIC,Tomato aspic,bfp_manual,active,main_course,"[""lunch"", ""dinner""]",non_vegetarian
ANN-000735,BFP415,MASALA ONION PAKORAS,Masala onion pakora/pakoda (Pyaaz ke pakode),bfp_manual,active,starter,"[""snack""]",vegetarian
ANN-000385,ASC403,Apple Cinnamon Pie,Apple cinnamon pie,asc_manual,active,bakery,"[""breakfast"", ""snack""]",eggetarian
ANN-000903,OSR039,Cardamom cookies,Cardamom cookies (Elaichi cookies),open_source_recipes,active,bakery,"[""breakfast"", ""snack""]",eggetarian
ANN-000880,OSR016,Mango malpua,Mango malpua,open_source_recipes,active,dessert,"[""anytime""]",vegetarian
ANN-000380,ASC398,Orange Cream Tart,Orange cream tart,asc_manual,active,bakery,"[""breakfast"", ""snack""]",vegetarian
ANN-000476,ASC500,Plum Jam,Plum jam (Aloo bukhara jam),asc_manual,active,sauce_condiment,"[""lunch"", ""dinner""]",vegetarian
ANN-000706,BFP364,FRUIT DELIGHT,Fruit delight,bfp_manual,active,dessert,"[""anytime""]",vegetarian
ANN-000584,BFP168,ONION TOMATO BAGHAR,Onion tomato baghar (Pyaaz tamatar ka tadka),bfp_manual,active,main_course,"[""lunch"", ""dinner""]",vegetarian
ANN-000983,OSR123,Rava cake,Semolina cake (Suji/Rava cake),open_source_recipes,active,bakery,"[""breakfast"", ""snack""]",vegetarian
ANN-000668,BFP303,CUCUMBER AND YOGURT SALAD,Cucumber and yogurt salad (Kheere aur dahi ka salad),bfp_manual,active,salad,"[""lunch"", ""dinner""]",vegetarian
ANN-000478,ASC502,Guava Jelly,Guava jelly (Amrood ki jelly),asc_manual,active,dessert,"[""anytime""]",vegetarian
ANN-000059,ASC061,Plain Omelette,Plain omelette/omlet,asc_manual,active,breakfast,"[""breakfast""]",eggetarian
ANN-000859,BFP602,TOMATO KETCHUP,Tomato ketchup,bfp_manual,active,main_course,"[""lunch"", ""dinner""]",vegetarian
ANN-000710,BFP368,COLD PINEAPPLE SOUFFLE,Cold pineapple souffle,bfp_manual,active,dessert,"[""anytime""]",non_vegetarian
ANN-000843,BFP573,BESAN SUJI DHOKLA,Gram flour and semolina dhokla (Besan suji dhokla),bfp_manual,active,snack,"[""snack""]",vegetarian
ANN-000284,ASC293,Suji Halwa,Semolina halwa (Suji ka halwa),asc_manual,active,dessert,"[""anytime""]",vegetarian
ANN-000946,OSR083,Vengaya Chutney/ onion chutney,Onion chutney (Pyaaz ki chutney/Vengaya chutney),open_source_recipes,active,sauce_condiment,"[""lunch"", ""dinner""]",vegetarian
ANN-000709,BFP367,COLD ORANGE SOUFFLE,Cold orange souffle,bfp_manual,active,dessert,"[""anytime""]",non_vegetarian
ANN-000419,ASC438,Gum Icing,Gum icing,asc_manual,active,snack,"[""snack""]",non_vegetarian
ANN-000703,BFP361,GRAPE AND ORANGE WHIP,Grape and orange whip,bfp_manual,active,dessert,"[""anytime""]",eggetarian
ANN-000618,BFP223,BENGAL FISH CURRY,Bengal fish curry (Bengali machli curry),bfp_manual,active,main_course,"[""lunch"", ""dinner""]",non_vegetarian
ANN-000390,ASC408,Chocolate Eclairs,Chocolate eclairs,asc_manual,active,beverage,"[""breakfast"", ""snack""]",eggetarian
ANN-000677,BFP318,PUMPKIN RAITA,Pumpkin raita (Kaddu ka raita),bfp_manual,active,side_dish,"[""lunch"", ""dinner""]",vegetarian
ANN-000370,ASC383,Spring Roll,Spring roll,asc_manual,active,snack,"[""snack""]",eggetarian
ANN-000648,BFP277,VEGETABLE JALFREZI,Vegetable jalfrezi,bfp_manual,active,side_dish,"[""lunch"", ""dinner""]",vegetarian
ANN-000800,BFP513,CHOCOLATE CREAM SHELLS,Chocolate cream shells,bfp_manual,active,dessert,"[""anytime""]",eggetarian
ANN-000682,BFP326,BANANA RAITA,Banana raita (Kele ka raita),bfp_manual,active,side_dish,"[""lunch"", ""dinner""]",non_vegetarian
ANN-000460,ASC480,Vegetable Soup,Vegetable soup,asc_manual,active,soup,"[""lunch"", ""dinner""]",vegetarian
ANN-000304,ASC315,Rich Chocolate Mousse,Rich chocolate mousse,asc_manual,active,dessert,"[""anytime""]",non_vegetarian
ANN-000011,ASC011,Coco pine cooler,Coco pine cooler,asc_manual,active,beverage,"[""breakfast"", ""snack""]",vegetarian
ANN-000185,ASC191,Pea Paneer curry,Pea paneer curry (Matar paneer),asc_manual,active,main_course,"[""lunch"", ""dinner""]",vegetarian
ANN-000770,BFP468,SUBMARINE SANDWICHES,Submarine sandwich,bfp_manual,active,starter,"[""snack""]",eggetarian
ANN-000340,ASC351,Potato Pakoda,Potato pakora/pakoda (Aloo pakoda),asc_manual,active,starter,"[""snack""]",vegetarian
ANN-000406,ASC424,Chocolate Chiffon Cake,Chocolate chiffon cake,asc_manual,active,bakery,"[""breakfast"", ""snack""]",eggetarian
ANN-000190,ASC196,Kamal kakdi curry,Lotus stem curry (Kamal kakdi curry),asc_manual,active,main_course,"[""lunch"", ""dinner""]",vegetarian
ANN-000641,BFP269,BHINDI SABZI (LADY'S FINGERS),Okra/Lady's fingers fry (Bhindi sabzi/sabji/subji),bfp_manual,active,side_dish,"[""lunch"", ""dinner""]",vegetarian
ANN-000614,BFP218,BROCCOLI CHICKEN ALA KING,Broccoli chicken ala king,bfp_manual,active,main_course,"[""lunch"", ""dinner""]",non_vegetarian
ANN-000737,BFP420,CHICKEN PAKORAS,Chicken pakora/pakoda,bfp_manual,active,starter,"[""snack""]",non_vegetarian
ANN-000332,ASC343,Besan Ladoo,Gram flour ladoo (Besan ladoo),asc_manual,active,dessert,"[""anytime""]",vegetarian
ANN-000980,OSR120,Wheat cake,Wheat cake,open_source_recipes,active,bakery,"[""breakfast"", ""snack""]",vegetarian
ANN-000254,ASC262,Potato Salad,Potato salad (Aloo ka salaad),asc_manual,active,salad,"[""lunch"", ""dinner""]",vegetarian
ANN-001004,OSR145,Dal dhokli,Dal dhokli,open_source_recipes,active,staple,"[""breakfast"", ""lunch"", ""dinner""]",vegetarian
ANN-000084,ASC086,Cream of Mushroom soup,Cream of mushroom soup,asc_manual,active,soup,"[""lunch"", ""dinner""]",non_vegetarian
ANN-000662,BFP294,VEGETABLE AND CHEESE PIE,Vegetable and cheese pie,bfp_manual,active,bakery,"[""breakfast"", ""snack""]",vegetarian
ANN-000950,OSR088,Cabbage raita,Cabbage raita (Pattagobhi raita),open_source_recipes,active,side_dish,"[""lunch"", ""dinner""]",vegetarian
ANN-000589,BFP174,MOONG DAL WITH VADI,Moong dal with vadi,bfp_manual,active,staple,"[""breakfast"", ""lunch"", ""dinner""]",vegetarian
ANN-000628,BFP241,VEGETABLE CURRY WITH COCONUT,Vegetable curry with coconut ,bfp_manual,active,side_dish,"[""lunch"", ""dinner""]",vegetarian
ANN-000866,OSR001,Wood apple juice,Woodapple juice (Bel ka sharbat),open_source_recipes,active,beverage,"[""breakfast"", ""snack""]",vegetarian
ANN-000049,ASC051,Cornflakes,Cornflakes with milk,asc_manual,active,breakfast,"[""breakfast""]",vegetarian
ANN-000025,ASC026,Cheese and Pineapple sandwich,Cheese and pineapple sandwich (Cheese aur ananas ka sandwich),asc_manual,active,starter,"[""snack""]",vegetarian
ANN-000431,ASC450,Ginger Bread Man,Ginger bread man,asc_manual,active,bakery,"[""breakfast"", ""snack""]",eggetarian
ANN-000902,OSR038,Sunflower cookies,Sunflower cookies,open_source_recipes,active,bakery,"[""breakfast"", ""snack""]",vegetarian
ANN-000135,ASC137,Spaghetti and cheese balls in tomato sauce,Spaghetti and cheese balls in tomato sauce,asc_manual,active,sauce_condiment,"[""lunch"", ""dinner""]",vegetarian
ANN-000471,ASC495,Lichi squash,Lichi squash,asc_manual,active,beverage,"[""breakfast"", ""snack""]",vegetarian
ANN-000933,OSR070,Egg in a Pepper,Egg in a pepper,open_source_recipes,active,review,"[""review""]",eggetarian
ANN-000275,ASC283,Makhana Kheer,Makhana kheer,asc_manual,active,dessert,"[""anytime""]",vegetarian
ANN-000005,ASC005,Raw Mango Panna ,Raw mango drink (Aam panna),asc_manual,active,beverage,"[""breakfast"", ""snack""]",vegetarian
ANN-000302,ASC313,Pineapple Souffle,Pineapple souffle ,asc_manual,active,dessert,"[""anytime""]",non_vegetarian
ANN-000505,BFP030,CAULIFLOWER CANJEE,Cauliflower canjee (Phoolgobhi ki canjee),bfp_manual,active,snack,"[""snack""]",vegetarian
ANN-000632,BFP250,JACK FRUIT KOFTA,Jackfruit kofta curry (Kathal ka kofta curry),bfp_manual,active,snack,"[""snack""]",eggetarian
ANN-000549,BFP116,BEETROOT POORIS,Beetroot poori (Chukandar ki poori),bfp_manual,active,breakfast,"[""breakfast""]",vegetarian
ANN-000522,BFP058,SPANISH OMELETTE,Spanish omelette/omlet,bfp_manual,active,breakfast,"[""breakfast""]",non_vegetarian
ANN-000607,BFP207,VEGETABLE YAKANI,Vegetable yakhni,bfp_manual,active,side_dish,"[""lunch"", ""dinner""]",vegetarian
ANN-000537,BFP087,ALMOND SOUP,Almond soup (Badam ka soup),bfp_manual,active,soup,"[""lunch"", ""dinner""]",non_vegetarian
ANN-000538,BFP088,COLD CUCUMBER CREAM SOUP,Cold cucumber cream soup ,bfp_manual,active,soup,"[""lunch"", ""dinner""]",vegetarian
ANN-000966,OSR104,Methi thepla,Methi thepla,open_source_recipes,active,main_course,"[""lunch"", ""dinner""]",vegetarian
ANN-000090,ASC092,Hot and Sour soup,Hot and sour soup,asc_manual,active,soup,"[""lunch"", ""dinner""]",non_vegetarian
ANN-000647,BFP276,"CAULIFLOWER, PEA AND POTATO Bhujia","Cauliflower, pea and potato bhujia (Phoolgobhi, matar aur aloo bhujia)",bfp_manual,active,snack,"[""snack""]",vegetarian
ANN-000207,ASC213,Baked brinjal in tomato sauce,Baked brinjal in tomato sauce,asc_manual,active,sauce_condiment,"[""lunch"", ""dinner""]",vegetarian
ANN-000905,OSR041,Milk cookies,Milk cookies,open_source_recipes,active,bakery,"[""breakfast"", ""snack""]",vegetarian
ANN-000289,ASC298,Pumpkin Halwa,Pumpkin halwa (Kaddu ka halwa),asc_manual,active,dessert,"[""anytime""]",vegetarian
ANN-000033,ASC034,Carrot Apple sandwich,Carrot apple sandwich (Gajar aur seb ka sandwich),asc_manual,active,starter,"[""snack""]",vegetarian
ANN-000299,ASC310,Orange Souffle,Orange souffle,asc_manual,active,dessert,"[""anytime""]",non_vegetarian
ANN-000456,ASC475,Channa Murmura Premix,Channa murmura premix,asc_manual,active,breakfast,"[""breakfast""]",vegetarian
ANN-000193,ASC199,Spinach kofta curry,Spinach kofta curry (Palak kofta curry),asc_manual,active,main_course,"[""lunch"", ""dinner""]",vegetarian
ANN-000704,BFP362,HONEY BANANA CREAM,Honey banana cream,bfp_manual,active,dessert,"[""anytime""]",non_vegetarian
ANN-000854,BFP595,LEMON GREEN CHILLI PICKLE,Lemon green chilli pickle (Nimboo aur hari mirch ka achaar),bfp_manual,active,sauce_condiment,"[""lunch"", ""dinner""]",vegetarian
ANN-000074,ASC076,Mushroom sauce,Mushroom sauce,asc_manual,active,sauce_condiment,"[""lunch"", ""dinner""]",vegetarian
ANN-000491,BFP002,Chat Masala,Chat masala,bfp_manual,active,main_course,"[""lunch"", ""dinner""]",vegetarian
ANN-000558,BFP134,ZEERA PULAO,Cumin pulao (Jeera/Zeera pulao),bfp_manual,active,staple,"[""breakfast"", ""lunch"", ""dinner""]",vegetarian
ANN-000473,ASC497,Pineapple squash,Pineapple squash (Ananas ka squash),asc_manual,active,beverage,"[""breakfast"", ""snack""]",vegetarian
ANN-000413,ASC431,Black Forest Pastry,Black forest pastry,asc_manual,active,bakery,"[""breakfast"", ""snack""]",eggetarian
ANN-000075,ASC077,Mustard Sauce,Mustard sauce,asc_manual,active,sauce_condiment,"[""lunch"", ""dinner""]",vegetarian
